,v1,geo_id,violations_norm,medianincome2000,medianincome2010,numpoints,borough,censusfipscountycode,dcpboroughcode,censustract,totaloccupiedhousingunits,v12,v13,county,tract,name,lsad,censusarea,sum2014uc,count,geography,estimatetotalbuilt2010orlater,estimatetotalbuilt2000to2009,estimatetotalbuilt1990to1999,estimatetotalbuilt1980to1989,estimatetotalbuilt1970to1979,estimatetotalbuilt1960to1969,estimatetotalbuilt1950to1959,estimatetotalbuilt1940to1949,estimatetotalbuilt1939orearlier,pre1960,post1960,totalbuilding,ppre1960,ppost1960,building1939to1960,pre1939,building1960to1990,post1990,p1939to1960,p1960to1990,totalestimatehouseholds,medianincomedollarsestimatehouse,medianincomedollarsmarginoferror,estimatetotal,estimatenothispanicorlatinowhite,estimatenothispanicorlatinoblack,estimatenothispanicorlatinoasian,estimatehispanicorlatino,estimatehispanicorlatinowhitealo,estimatehispanicorlatinoblackora,estimatehispanicorlatinoamerican,estimatehispanicorlatinoasianalo,pop,white,black,latino,asian,pblack,pwhite,pasian,merge4,stabilized_pop,platino,mediancbsa2000,mediancbsa2010,ratio10,ratio00,ratio,pincome40,lowincome,gentrification,perchangeincome,gentri_per,pctlincome2014,lowincome2014,viol_norm_new,nychaunits,_merge,violations,violations_pop,violations_units,stabilized,totalprivateunitsoc,medianincome2014,stabilized_norm
0,1.0,36005000200,0.176,59826.0,25441.0,223.0,Bronx,5.0,2.0,200.0,1351.0,5000200.0,16.506292,,,,,,,,"Census Tract 2, Bronx County, New York",0.0,205.0,110.0,33.0,107.0,284.0,108.0,164.0,464.0,736.0,739.0,1475.0,0.49898306,0.50101697,272.0,464.0,424.0,315.0,0.18440677,0.28745762,1379.0,74837.0,18514.0,5095.0,115.0,1041.0,331.0,3505.0,1491.0,382.0,7.0,0.0,5095.0,115.0,1041.0,3505.0,0.0,0.20431796,0.022571148,0.0,3.0,,0.68792933,50795.0,60169.0,0.42282569,1.1777931,-0.75496745,47280.0,0.0,0.0,-0.57475013,0.0,50139.0,0.0,0.16506292,0,master only (1),223.0,0.043768402,0.16506292,0,1351.0,11.223067,0.0
1,2.0,36005000400,0.352,71968.0,19620.0,191.0,Bronx,5.0,2.0,400.0,1786.0,5000400.0,10.694289,5.0,400.0,4.0,Tract,0.352,9.0,1.0,"Census Tract 4, Bronx County, New York",8.0,773.0,243.0,120.0,95.0,200.0,106.0,103.0,347.0,556.0,1439.0,1995.0,0.27869675,0.72130328,209.0,347.0,415.0,1024.0,0.10476191,0.20802005,1819.0,77991.0,5195.0,5572.0,160.0,1709.0,21.0,3533.0,1514.0,287.0,16.0,15.0,5572.0,160.0,1709.0,3533.0,15.0,0.30671212,0.028715003,0.0026920319,3.0,0.0016152191,0.63406318,50795.0,60169.0,0.32608154,1.4168323,-1.0907508,47280.0,0.0,0.0,-0.72737885,0.0,50139.0,0.0,0.10694289,0,master only (1),191.0,0.034278534,0.10694289,9,1786.0,11.264349,0.0050391937
2,509.0,36005001600,0.18700001,30355.0,29565.0,68.0,Bronx,5.0,2.0,1600.0,1925.0,5001600.0,3.5324676,,,,,,,,"Census Tract 16, Bronx County, New York",36.0,181.0,130.0,8.0,904.0,484.0,109.0,21.0,165.0,295.0,1743.0,2038.0,0.14474976,0.85525024,130.0,165.0,1396.0,347.0,0.063788027,0.68498528,1912.0,32354.0,4876.0,5412.0,75.0,1609.0,0.0,3694.0,1780.0,197.0,0.0,0.0,5412.0,75.0,1609.0,3694.0,0.0,0.29730231,0.013858093,0.0,3.0,,0.68255728,50795.0,60169.0,0.491366,0.5975982,-0.1062322,47280.0,1.0,0.0,-0.026025366,0.0,50139.0,1.0,0.035324674,0,master only (1),68.0,0.012564671,0.035324674,0,1925.0,10.384493,0.0
3,510.0,36005001900,0.63499999,25093.0,73750.0,289.0,Bronx,5.0,2.0,1900.0,550.0,5001900.0,52.545456,5.0,1900.0,19.0,Tract,0.63499999,415.0,13.0,"Census Tract 19, Bronx County, New York",204.0,174.0,32.0,21.0,0.0,55.0,24.0,45.0,340.0,409.0,486.0,895.0,0.45698324,0.54301673,69.0,340.0,76.0,410.0,0.077094972,0.084916204,834.0,34635.0,4017.0,2569.0,209.0,705.0,39.0,1509.0,619.0,109.0,0.0,0.0,2569.0,209.0,705.0,1509.0,0.0,0.27442583,0.081354611,0.0,3.0,0.16154146,0.5873881,50795.0,60169.0,1.2257142,0.49400532,0.73170888,47280.0,1.0,1.0,1.9390666,1.0,50139.0,1.0,0.52545452,0,master only (1),289.0,0.11249513,0.52545452,415,550.0,10.45262,0.75454545
4,511.0,36005002000,0.153,24939.0,2499.0,221.0,Bronx,5.0,2.0,2000.0,3019.0,5002000.0,7.3203049,5.0,2000.0,20.0,Tract,0.153,7.0,1.0,"Census Tract 20, Bronx County, New York",0.0,70.0,11.0,85.0,367.0,523.0,1077.0,254.0,782.0,2113.0,1056.0,3169.0,0.66677183,0.33322814,1331.0,782.0,975.0,81.0,0.4200063,0.30766803,2980.0,23423.0,5396.0,8959.0,114.0,3090.0,290.0,5264.0,1743.0,926.0,130.0,0.0,8959.0,114.0,3090.0,5264.0,0.0,0.34490457,0.012724634,0.0,3.0,0.00078133697,0.5875656,50795.0,60169.0,0.041533016,0.49097353,-0.44944051,47280.0,1.0,0.0,-0.89979547,0.0,50139.0,1.0,0.07320305,1036,matched (3),221.0,0.024667932,0.07320305,7,1983.0,10.061474,0.003530005
5,2130.0,36005002300,0.039999999,13756.0,2499.0,1.0,Bronx,5.0,2.0,2300.0,1774.0,5002300.0,0.056369785,,,,,,,,"Census Tract 23, Bronx County, New York",20.0,23.0,8.0,41.0,152.0,774.0,292.0,141.0,509.0,942.0,1018.0,1960.0,0.48061225,0.51938778,433.0,509.0,967.0,51.0,0.22091837,0.49336734,1883.0,14304.0,1605.0,4860.0,20.0,1855.0,0.0,2985.0,759.0,514.0,55.0,0.0,4860.0,20.0,1855.0,2985.0,0.0,0.38168725,0.0041152262,0.0,3.0,,0.61419755,50795.0,60169.0,0.041533016,0.27081406,-0.22928104,47280.0,1.0,0.0,-0.8183338,0.0,50139.0,1.0,0.00056369783,1732,matched (3),1.0,0.00020576132,0.00056369783,0,42.0,9.5682945,0.0
6,513.0,36005002500,0.048999999,15207.0,11063.0,565.0,Bronx,5.0,2.0,2500.0,1824.0,5002500.0,30.975878,5.0,2500.0,25.0,Tract,0.048999999,498.0,31.0,"Census Tract 25, Bronx County, New York",39.0,100.0,8.0,155.0,193.0,143.0,426.0,115.0,872.0,1413.0,638.0,2051.0,0.68893224,0.31106776,541.0,872.0,491.0,147.0,0.26377377,0.23939541,1794.0,15683.0,2145.0,5143.0,59.0,826.0,234.0,4018.0,1335.0,199.0,0.0,59.0,5143.0,59.0,826.0,4018.0,59.0,0.16060665,0.011471904,0.011471904,3.0,0.096830644,0.78125608,50795.0,60169.0,0.18386544,0.29937986,-0.11551441,47280.0,1.0,0.0,-0.27250609,0.0,50139.0,1.0,0.30975878,725,matched (3),565.0,0.10985806,0.30975878,498,1099.0,9.6603327,0.45313922
7,515.0,36005002800,0.161,44036.0,50729.0,184.0,Bronx,5.0,2.0,2800.0,2342.0,5002800.0,7.8565331,5.0,2800.0,28.0,Tract,0.161,980.0,2.0,"Census Tract 28, Bronx County, New York",0.0,0.0,35.0,54.0,532.0,1185.0,432.0,68.0,112.0,612.0,1806.0,2418.0,0.25310174,0.74689823,500.0,112.0,1771.0,35.0,0.20678246,0.73242348,2336.0,50388.0,8345.0,5746.0,11.0,4074.0,65.0,1438.0,178.0,335.0,0.0,0.0,5746.0,11.0,4074.0,1438.0,0.0,0.70901495,0.001914375,0.0,3.0,0.17055343,0.25026104,50795.0,60169.0,0.84310859,0.86693573,-0.023827136,47280.0,1.0,0.0,0.15198928,1.0,50139.0,0.0,0.078565329,0,master only (1),184.0,0.032022275,0.078565329,980,2342.0,10.827508,0.41844577
8,519.0,36005003800,0.024,55625.0,29191.0,83.0,Bronx,5.0,2.0,3800.0,414.0,5003800.0,20.048309,5.0,3800.0,38.0,Tract,0.024,8.0,1.0,"Census Tract 38, Bronx County, New York",0.0,24.0,85.0,13.0,18.0,88.0,80.0,10.0,109.0,199.0,228.0,427.0,0.46604216,0.53395784,90.0,109.0,119.0,109.0,0.21077283,0.27868852,369.0,46534.0,13068.0,1303.0,24.0,599.0,9.0,655.0,246.0,15.0,0.0,8.0,1303.0,24.0,599.0,655.0,8.0,0.45970836,0.018419033,0.0061396779,3.0,0.0061396779,0.50268608,50795.0,60169.0,0.48515016,1.0950881,-0.60993797,47280.0,0.0,0.0,-0.47521797,0.0,50139.0,1.0,0.2004831,206,matched (3),83.0,0.063699156,0.2004831,8,208.0,10.747938,0.03846154
9,520.0,36005003900,0.082999997,31566.0,6875.0,904.0,Bronx,5.0,2.0,3900.0,1986.0,5003900.0,45.518631,5.0,3900.0,39.0,Tract,0.082999997,871.0,70.0,"Census Tract 39, Bronx County, New York",0.0,334.0,71.0,301.0,141.0,149.0,130.0,97.0,1005.0,1232.0,996.0,2228.0,0.5529623,0.4470377,227.0,1005.0,591.0,405.0,0.1018851,0.26526031,1945.0,27608.0,7558.0,6580.0,138.0,1214.0,77.0,5151.0,1583.0,217.0,33.0,0.0,6580.0,138.0,1214.0,5151.0,0.0,0.18449847,0.020972645,0.0,3.0,0.13237081,0.78282672,50795.0,60169.0,0.11426149,0.6214391,-0.50717759,47280.0,1.0,0.0,-0.78220236,0.0,50139.0,1.0,0.45518631,496,matched (3),904.0,0.13738602,0.45518631,871,1490.0,10.225861,0.58456373
