GEO_ID,CENSUSAREA,income_change_field_1,income_change_Geo_FIPS,income_change_SE_T058_001,income_change_SE_T058_010,income_change_prec_change,NUMPOINTS
1400000US36001000100,0.91400,,,,,,0
1400000US36001000200,0.79700,,,,,,0
1400000US36001000401,3.48200,,,,,,0
1400000US36001000501,0.21100,,,,,,0
1400000US36001001500,0.22500,,,,,,0
1400000US36001001901,0.33600,,,,,,0
1400000US36001002200,0.09600,,,,,,0
1400000US36001013000,1.98000,,,,,,0
1400000US36001013507,2.15300,,,,,,0
1400000US36001013706,1.05900,,,,,,0
1400000US36001013901,1.49600,,,,,,0
1400000US36001014402,1.34600,,,,,,0
1400000US36001014503,2.13900,,,,,,0
1400000US36001014614,2.65800,,,,,,0
1400000US36005000100,0.61000,0,1645261732,,,,0
1400000US36005000200,0.17600,1,1645261832,59826.00000,25441.00000,-57.47501,223
1400000US36005000400,0.35200,2,1645262032,71968.00000,19620.00000,-72.73788,191
1400000US36005002701,0.03200,8,1645264333,19450.00000,,,52
1400000US36005003500,0.05500,13,1645265132,20403.00000,,,321
1400000US36005004001,0.04800,17,1645265633,44432.00000,44318.00000,-0.25657,62
1400000US36005004600,0.05200,21,1645266232,22146.00000,,,49
1400000US36005005200,0.07000,23,1645266832,33750.00000,,,104
1400000US36005005600,0.05300,25,1645267232,30402.00000,,,556
1400000US36005006400,0.06300,30,1645268032,42596.00000,53750.00000,26.18556,220
1400000US36005006800,0.06000,33,1645268432,35078.00000,,,261
1400000US36005007300,0.05400,38,1645268932,26364.00000,9408.00000,-64.31497,367
1400000US36005007700,0.04400,41,1645269332,38472.00000,,,150
1400000US36005008500,0.07000,46,1645270132,25783.00000,26250.00000,1.81127,697
1400000US36005009200,0.11900,50,1645270832,45625.00000,56875.00000,24.65753,338
1400000US36019100100,51.23100,,,,,,0
1400000US36019100300,188.61500,,,,,,0
1400000US36019101000,1.35700,,,,,,0
1400000US36019102200,0.96000,,,,,,0
1400000US36021000402,16.33000,,,,,,0
1400000US36021000900,47.72400,,,,,,0
1400000US36023970300,1.34000,,,,,,0
1400000US36023970600,0.51400,,,,,,0
1400000US36025970300,81.24900,,,,,,0
1400000US36025970900,0.31700,,,,,,0
1400000US36027010000,43.22000,,,,,,0
1400000US36027020004,8.43900,,,,,,0
1400000US36027050204,8.29100,,,,,,0
1400000US36027060301,2.78300,,,,,,0
1400000US36027070401,3.37700,,,,,,0
1400000US36027110003,20.95500,,,,,,0
1400000US36027140101,2.79100,,,,,,0
1400000US36027150005,12.90300,,,,,,0
1400000US36027160005,1.52300,,,,,,0
1400000US36027190301,3.27400,,,,,,0
1400000US36027210301,1.64800,,,,,,0
1400000US36027220901,0.51600,,,,,,0
1400000US36005009600,0.27000,1939,1645271232,41597.00000,45833.00000,10.18343,78
1400000US36005009800,0.19900,51,1645271432,52725.00000,11406.00000,-78.36700,81
1400000US36005011502,0.13200,53,1645273134,20536.00000,,,518
1400000US36005012101,0.04500,56,1645273733,38750.00000,,,302
1400000US36005013000,0.04500,62,1645274632,85929.00000,69063.00000,-19.62783,2
1400000US36005013300,0.06200,65,1645274932,18514.00000,,,342
1400000US36005014400,0.14900,70,1645276032,25844.00000,24167.00000,-6.48893,65
1400000US36005014900,0.06000,72,1645276532,23767.00000,9750.00000,-58.97673,946
1400000US36005015500,0.04600,75,1645277132,22250.00000,,,193
1400000US36005016200,0.07000,80,1645277832,66204.00000,79063.00000,19.42330,4
1400000US36005016400,0.06300,82,1645278032,77083.00000,82014.00000,6.39700,7
1400000US36005016900,0.03600,86,1645278532,23355.00000,,,40
1400000US36005017701,0.04100,1945,1645279333,19182.00000,19239.00000,0.29715,947
1400000US36005018101,0.03000,1949,1645279733,34623.00000,,,413
1400000US36005018900,0.13500,91,1645280532,27294.00000,100139.00000,266.89016,1703
1400000US36005019700,0.05700,95,1645281332,24543.00000,9345.00000,-61.92397,1118
1400000US36005020200,0.04800,98,1645281832,38333.00000,21474.00000,-43.98038,279
1400000US36005020900,0.05100,1957,1645282532,27440.00000,,,1011
1400000US36005021301,0.02600,103,1645282933,21500.00000,,,138
1400000US36005021602,0.06400,108,1645283234,46672.00000,103750.00000,122.29602,199
1400000US36005022101,0.02600,1961,1645283733,28008.00000,,,291
1400000US36005022401,0.03300,113,1645284033,37287.00000,32716.00000,-12.25896,351
1400000US36005022702,0.01900,116,1645284334,53173.00000,,,345
1400000US36005022902,0.03600,120,1645284534,21985.00000,,,678
1400000US36005023301,0.04600,124,1645284933,30049.00000,,,1081
1400000US36005023600,0.03600,128,1645285232,38913.00000,16319.00000,-58.06286,90
1400000US36005024000,0.09200,131,1645285632,39219.00000,34132.00000,-12.97075,524
1400000US36005025400,0.06600,143,1645287032,54764.00000,52593.00000,-3.96428,49
1400000US36005026100,0.06700,147,1645287732,58100.00000,54821.00000,-5.64372,128
1400000US36005026500,0.07700,150,1645288132,23968.00000,24896.00000,3.87183,2122
1400000US36005026701,0.02800,1971,1645288333,25936.00000,2499.00000,-90.36474,505
1400000US36005027700,0.06600,156,1645289332,30823.00000,34444.00000,11.74772,437
1400000US36005028500,0.10300,161,1645290132,44022.00000,44309.00000,0.65195,214
1400000US36005029301,0.11200,1975,1645290933,100776.00000,106522.00000,5.70175,3
1400000US36005029302,0.16400,1976,1645290934,80313.00000,80000.00000,-0.38973,17
1400000US36005029500,0.09000,166,1645291132,71936.00000,70245.00000,-2.35070,54
1400000US36005029600,0.28100,167,1645291232,29967.00000,28772.00000,-3.98772,78
1400000US36005030000,0.16000,169,1645291632,51577.00000,48656.00000,-5.66338,144
1400000US36005031000,0.24400,172,1645292632,90461.00000,83875.00000,-7.28049,2
1400000US36005031800,0.06900,176,1645293432,66736.00000,57298.00000,-14.14229,24
1400000US36005032800,0.07900,180,1645294432,37314.00000,63250.00000,69.50742,232
1400000US36005033202,0.04400,1981,1645294834,22625.00000,10052.00000,-55.57127,288
1400000US36005033800,0.06200,184,1645295432,42830.00000,76667.00000,79.00304,445
1400000US36005034400,0.06100,188,1645296032,36726.00000,24722.00000,-32.68529,10
1400000US36005035600,0.15400,192,1645297232,80571.00000,,,15
1400000US36005036300,0.08600,196,1645297932,20664.00000,18986.00000,-8.12040,1147
1400000US36005036700,0.03600,200,1645298332,17391.00000,,,630
1400000US36005037000,0.06100,204,1645298632,68194.00000,25208.00000,-63.03487,84
1400000US36005037600,0.04900,209,1645299232,53750.00000,68625.00000,27.67442,216
1400000US36005038000,0.08300,212,1645299632,35114.00000,24837.00000,-29.26753,609
1400000US36005038500,0.07400,215,1645300132,20981.00000,11700.00000,-44.23526,945
1400000US36005039200,0.03700,222,1645300832,57000.00000,,,224
1400000US36005039800,0.07800,227,1645301432,57188.00000,,,260
1400000US36005040100,0.06600,230,1645301732,33950.00000,16250.00000,-52.13549,999
1400000US36005040304,0.02600,1991,1645301936,32586.00000,45550.00000,39.78396,831
1400000US36005040701,0.02200,234,1645302333,24836.00000,12938.00000,-47.90627,356
1400000US36005041100,0.04700,238,1645302732,39623.00000,56250.00000,41.96300,575
1400000US36005042000,0.05800,244,1645303632,51193.00000,22404.00000,-56.23620,757
1400000US36005042200,0.06700,246,1645303832,49052.00000,75781.00000,54.49115,343
1400000US36005042800,0.06500,251,1645304432,70313.00000,36696.00000,-47.81050,61
1400000US36005043600,0.06000,257,1645305232,51000.00000,36111.00000,-29.19412,73
1400000US36005044400,0.14100,1995,1645306032,58534.00000,33155.00000,-43.35771,116
1400000US36005045101,0.06800,262,1645306733,52988.00000,50357.00000,-4.96528,92
1400000US36005048400,0.27000,268,1645310032,55577.00000,,,125
1400000US36007000200,0.54300,,,,,,0
1400000US36007001800,0.87300,,,,,,0
1400000US36007012201,3.90900,,,,,,0
1400000US36007012202,28.86400,,,,,,0
1400000US36007012500,91.74300,,,,,,0
1400000US36007013100,0.82500,,,,,,0
1400000US36007013400,0.91600,,,,,,0
1400000US36007013800,0.64300,,,,,,0
1400000US36007014302,2.72700,,,,,,0
1400000US36009940200,0.37000,,,,,,0
1400000US36009960300,143.52600,,,,,,0
1400000US36009961200,43.54100,,,,,,0
1400000US36011040300,52.14400,,,,,,0
1400000US36011041100,58.37700,,,,,,0
1400000US36011041800,1.44700,,,,,,0
1400000US36011990200,0.00000,,,,,,0
1400000US36013030600,1.45700,,,,,,0
1400000US36013035400,0.65300,,,,,,0
1400000US36013035902,0.39800,,,,,,0
1400000US36013036700,108.60000,,,,,,0
1400000US36013037000,44.03400,,,,,,0
1400000US36015000100,1.60900,,,,,,0
1400000US36015000600,0.43100,,,,,,0
1400000US36015010400,1.31300,,,,,,0
1400000US36015010900,4.49100,,,,,,0
1400000US36017970400,0.90800,,,,,,0
1400000US36047010400,0.05900,339,1687272032,25625.00000,32721.00000,27.69171,95
1400000US36047010600,0.05800,340,1687272232,30459.00000,37031.00000,21.57655,71
1400000US36047010800,0.05800,341,1687272432,37953.00000,55292.00000,45.68545,100
1400000US36047011000,0.06100,342,1687272632,37083.00000,21797.00000,-41.22104,122
1400000US36047011200,0.06600,343,1687272832,24819.00000,21228.00000,-14.46875,529
1400000US36047011400,0.06500,344,1687273032,40779.00000,38234.00000,-6.24096,83
1400000US36047012000,0.07500,348,1687273632,31750.00000,,,0
1400000US36047012700,0.06300,351,1687274332,24656.00000,134375.00000,444.99919,92
1400000US36047013000,0.06800,355,1687274632,46037.00000,50538.00000,9.77692,169
1400000US36047013300,0.05700,358,1687274932,88851.00000,91023.00000,2.44454,97
1400000US36047013700,0.05900,362,1687275332,76058.00000,80154.00000,5.38536,51
1400000US36047014100,0.06400,366,1687275732,78674.00000,94479.00000,20.08923,72
1400000US36047014800,0.05200,371,1687276432,95833.00000,96061.00000,0.23791,0
1400000US36047015100,0.05800,374,1687276732,106955.00000,123333.00000,15.31298,38
1400000US36047015700,0.06500,378,1687277332,113924.00000,121026.00000,6.23398,35
1400000US36047016300,0.07100,383,1687277932,74732.00000,105682.00000,41.41466,145
1400000US36047016600,0.10300,2005,1687278232,71500.00000,62679.00000,-12.33706,0
1400000US36047017600,0.05500,394,1687279232,36875.00000,29597.00000,-19.73695,6
1400000US36047018000,0.06800,398,1687279632,33900.00000,31875.00000,-5.97345,49
1400000US36047018400,0.05800,402,1687280032,36367.00000,40000.00000,9.98983,4
1400000US36047018600,0.04400,404,1687280232,45417.00000,29449.00000,-35.15864,4
1400000US36047019200,0.07300,409,1687280832,37120.00000,39625.00000,6.74838,19
1400000US36047019600,0.07300,413,1687281232,43421.00000,34764.00000,-19.93736,71
1400000US36047020000,0.05200,417,1687281632,50610.00000,60238.00000,19.02391,0
1400000US36047020400,0.05200,421,1687282032,66757.00000,62000.00000,-7.12584,0
1400000US36047021000,0.05800,426,1687282632,53586.00000,58082.00000,8.39025,79
1400000US36047021400,0.06500,429,1687283032,27917.00000,21458.00000,-23.13644,50
1400000US36047021800,0.06100,433,1687283432,32333.00000,31943.00000,-1.20620,82
1400000US36047022400,0.06800,438,1687284032,38244.00000,40741.00000,6.52913,135
1400000US36047022900,0.06600,442,1687284532,51711.00000,72639.00000,40.47108,81
1400000US36047023300,0.06600,446,1687284932,35530.00000,52171.00000,46.83648,141
1400000US36047024000,0.06600,451,1687285632,36769.00000,33882.00000,-7.85172,35
1400000US36047024700,0.07000,458,1687286332,33480.00000,54922.00000,64.04421,286
1400000US36047025200,0.07000,463,1687286832,45968.00000,47188.00000,2.65402,146
1400000US36047025500,0.05400,466,1687287132,16670.00000,,,3
1400000US36047025901,0.03100,470,1687287533,26053.00000,180033.00000,591.02599,263
1400000US36047026200,0.06100,474,1687287832,41633.00000,51875.00000,24.60068,9
1400000US36047027000,0.05200,482,1687288632,32917.00000,30000.00000,-8.86168,111
1400000US36027221100,0.32900,,,,,,0
1400000US36027300000,1.10800,,,,,,0
1400000US36027610000,1.23800,,,,,,0
1400000US36027640001,0.11700,,,,,,0
1400000US36029000600,0.44900,,,,,,0
1400000US36029001402,0.42000,,,,,,0
1400000US36029003000,0.54700,,,,,,0
1400000US36029003700,0.42400,,,,,,0
1400000US36029004401,0.38600,,,,,,0
1400000US36029004700,0.57200,,,,,,0
1400000US36029005202,0.22300,,,,,,0
1400000US36029005600,0.84900,,,,,,0
1400000US36029006201,0.18400,,,,,,0
1400000US36029006601,0.15100,,,,,,0
1400000US36029006901,0.22800,,,,,,0
1400000US36029007202,0.38700,,,,,,0
1400000US36029007800,1.44500,,,,,,0
1400000US36029007904,0.52000,,,,,,0
1400000US36029008101,1.29900,,,,,,0
1400000US36029008500,0.20200,,,,,,0
1400000US36029008800,0.36100,,,,,,0
1400000US36029009008,1.47600,,,,,,0
1400000US36029009112,1.27800,,,,,,0
1400000US36029009116,1.05400,,,,,,0
1400000US36029009501,1.22200,,,,,,0
1400000US36029009900,0.78600,,,,,,0
1400000US36029010300,0.16300,,,,,,0
1400000US36029010805,1.07200,,,,,,0
1400000US36029010809,0.60300,,,,,,0
1400000US36029010901,1.17400,,,,,,0
1400000US36029010902,1.59300,,,,,,0
1400000US36029011000,0.44300,,,,,,0
1400000US36029011400,0.30000,,,,,,0
1400000US36029011800,1.37400,,,,,,0
1400000US36029012400,0.51300,,,,,,0
1400000US36029013002,2.00700,,,,,,0
1400000US36029013300,0.91600,,,,,,0
1400000US36029013900,0.84000,,,,,,0
1400000US36029014207,1.92800,,,,,,0
1400000US36029014209,1.07200,,,,,,0
1400000US36029014603,4.14500,,,,,,0
1400000US36029014901,2.71800,,,,,,0
1400000US36029014904,1.37800,,,,,,0
1400000US36029015301,21.43600,,,,,,0
1400000US36029015501,1.41700,,,,,,0
1400000US36029015900,3.67400,,,,,,0
1400000US36029017300,3.74500,,,,,,0
1400000US36029940100,1.83900,,,,,,0
1400000US36031961000,64.49100,,,,,,0
1400000US36033940000,18.94000,,,,,,0
1400000US36033950700,343.75300,,,,,,0
1400000US36035970400,107.75400,,,,,,0
1400000US36035970900,0.60100,,,,,,0
1400000US36035971400,26.08300,,,,,,0
1400000US36037950500,0.86500,,,,,,0
1400000US36037950600,0.61500,,,,,,0
1400000US36037950700,1.04200,,,,,,0
1400000US36037950800,0.50800,,,,,,0
1400000US36039080800,0.63100,,,,,,0
1400000US36041950400,300.12000,,,,,,0
1400000US36043010201,1.87300,,,,,,0
1400000US36043010701,1.81300,,,,,,0
1400000US36043011001,1.51800,,,,,,0
1400000US36045060300,105.75300,,,,,,0
