SubboroID,Shape_Leng,Shape_Area,SubboroNam,NUMPOINTS
1,62869.97162,117967850.33400,Mott Haven/Hunts Point,13283
2,68829.18075,122267489.21700,Morrisania/East Tremont,20639
3,35396.03804,49937746.32420,Highbridge/S.Concourse,23107
4,63648.47563,47515799.67890,Univ.Heights/Fordham,22352
5,53732.05677,46922024.39590,Kings Heights/Mosholu,22842
6,52083.12446,99160734.55800,Riverdale/Kingsbridge,6422
7,55475.91206,119849598.50500,Soundview/Parkchester,12591
8,215312.19678,264423704.40200,Throgs Neck/Co-op City,1499
9,47949.36628,106142156.08200,Pelham Parkway,7814
10,104270.67573,189351382.99300,Williamsbridge/Baychester,12154
11,55522.20905,119881091.99800,Williamsburg/Greenpoint,4852
12,78120.18425,90200787.41790,Brooklyn Heights/Fort Greene,2673
13,44757.16561,64036262.46400,Bedford Stuyvesant,9955
14,44817.81835,70535376.90990,Bushwick,11082
15,88283.88738,165946043.07800,East New York/Starret City,8961
16,80103.20967,112791642.13200,Park Slope/Carroll Gardens,1967
17,76456.69690,116348608.65200,Sunset Park,5788
18,42385.80440,61986195.38900,N.Crown Heights/Pros.Heights,14714
19,35016.05867,47618734.68140,South Crown Heights,12187
20,46627.32132,108470322.52600,Bay Ridge,2575
21,44047.32625,97047259.62970,Bensonhurst,4050
22,51109.35274,87681055.66900,Borough Park,3906
23,91337.55170,101522416.06100,Coney Island,3017
24,49976.95630,81049378.32330,Flatbush,13988
25,76021.60358,123724921.55400,Sheepshead Bay/Gravesend,3422
26,44943.78358,72193950.91360,Brownsville/Ocean Hill,13291
27,50487.92540,84662487.02710,East Flatbush,11824
28,264346.84152,399144725.32800,Flatlands/Canarsie,3297
29,189467.38949,87124214.41090,Green.Village/Fin.District,2097
30,32973.09066,48605167.57900,L.East Side/Chinatown,3732
31,39809.19750,80793607.04360,Chelsea/Clinton/Midtown,3277
32,39429.68047,45715430.95930,Stuy.Town/Turtle Bay,1563
33,58213.12514,93755380.88030,Upper West Side,3648
34,54378.24028,56364640.37290,Upper East Side,3166
35,34440.25453,37315829.21770,Morning.Heights/Hamilton Heights,16345
36,42974.90656,40725870.94980,Central Harlem,10931
37,58239.37320,64344976.90160,East Harlem,6144
38,73265.32674,86253064.34670,Washington Heights/Inwood,28265
39,73164.97053,142952185.81200,Astoria,3401
40,82939.06277,175581492.41000,Sunnyside/Woodside,2960
41,61241.52764,111754668.67800,Jackson Heights,3544
42,92533.41712,111526822.43700,Elmhurst/Corona,2177
43,71304.10602,204443585.53100,Middle Village/Ridgewood,3487
44,39010.08573,79832680.56090,Forest Hill/Rego Park,1453
45,111044.75220,322026469.81500,Flushing/Whitestone,2086
46,82185.14015,209463208.68200,Hillcrest/Fresh Madows,2017
47,57277.61350,133982587.94100,Kew Gardens/Woodhaven,2821
48,108483.00482,179041006.99200,Howard Beach/S.Ozone Park,1319
49,87450.67328,255125897.61700,Bayside/Little Neck,347
50,72172.53137,258082190.04600,Jamaica,5215
51,196312.71032,545600356.38900,Bellerose/Rosedale,1472
52,170620.82514,220117868.39600,Rockaways,3346
53,110253.84856,385545127.27100,North Shore,6507
54,149717.79458,616011881.67400,Mid Island,845
55,167147.63526,648875687.09300,South Shore,668
