Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,"Total Occupied Housing Units",census_fips
Bronx,005,2,000100,0,005000100
Bronx,005,2,000200,"1,351",005000200
Bronx,005,2,000400,"1,786",005000400
Bronx,005,2,001600,"1,925",005001600
Bronx,005,2,001900,550,005001900
Bronx,005,2,002000,"3,019",005002000
Bronx,005,2,002300,"1,774",005002300
Bronx,005,2,002400,1,005002400
Bronx,005,2,002500,"1,824",005002500
Bronx,005,2,002701,"1,042",005002701
Bronx,005,2,002702,"1,290",005002702
Bronx,005,2,002800,"2,342",005002800
Bronx,005,2,003100,513,005003100
Bronx,005,2,003300,"1,092",005003300
Bronx,005,2,003500,"1,274",005003500
Bronx,005,2,003700,111,005003700
Bronx,005,2,003800,414,005003800
Bronx,005,2,003900,"1,986",005003900
Bronx,005,2,004001,536,005004001
Bronx,005,2,004100,"1,970",005004100
Bronx,005,2,004200,"2,719",005004200
Bronx,005,2,004300,"1,605",005004300
Bronx,005,2,004400,"1,662",005004400
Bronx,005,2,004600,621,005004600
Bronx,005,2,004800,"1,327",005004800
Bronx,005,2,005001,"1,487",005005001
Bronx,005,2,005002,"1,783",005005002
Bronx,005,2,005100,"1,960",005005100
Bronx,005,2,005200,775,005005200
Bronx,005,2,005300,"1,656",005005300
Bronx,005,2,005400,"1,760",005005400
Bronx,005,2,005600,942,005005600
Bronx,005,2,005902,"1,051",005005902
Bronx,005,2,006000,360,005006000
Bronx,005,2,006100,"2,077",005006100
Bronx,005,2,006200,"2,343",005006200
Bronx,005,2,006300,"1,900",005006300
Bronx,005,2,006400,"1,311",005006400
Bronx,005,2,006500,"1,814",005006500
Bronx,005,2,006700,"2,287",005006700
Bronx,005,2,006800,"1,017",005006800
Bronx,005,2,006900,"2,558",005006900
Bronx,005,2,007000,"1,492",005007000
Bronx,005,2,007100,616,005007100
Bronx,005,2,007200,"1,762",005007200
Bronx,005,2,007300,"1,282",005007300
Bronx,005,2,007400,"1,378",005007400
Bronx,005,2,007500,"1,580",005007500
Bronx,005,2,007600,"1,723",005007600
Bronx,005,2,007700,576,005007700
Bronx,005,2,007800,"2,082",005007800
Bronx,005,2,007900,"2,246",005007900
Bronx,005,2,008300,"1,964",005008300
Bronx,005,2,008400,714,005008400
Bronx,005,2,008500,"1,659",005008500
Bronx,005,2,008600,"1,446",005008600
Bronx,005,2,008700,"1,677",005008700
Bronx,005,2,008900,"1,139",005008900
Bronx,005,2,009000,"1,167",005009000
Bronx,005,2,009200,"1,783",005009200
Bronx,005,2,009300,"1,706",005009300
Bronx,005,2,009600,710,005009600
Bronx,005,2,009800,"1,761",005009800
Bronx,005,2,011000,43,005011000
Bronx,005,2,011502,"1,365",005011502
Bronx,005,2,011700,562,005011700
Bronx,005,2,011800,"1,576",005011800
Bronx,005,2,011900,"1,904",005011900
Bronx,005,2,012101,906,005012101
Bronx,005,2,012102,492,005012102
Bronx,005,2,012300,"1,398",005012300
Bronx,005,2,012500,"1,235",005012500
Bronx,005,2,012701,789,005012701
Bronx,005,2,012901,"1,400",005012901
Bronx,005,2,013000,424,005013000
Bronx,005,2,013100,"1,661",005013100
Bronx,005,2,013200,"2,186",005013200
Bronx,005,2,013300,"2,278",005013300
Bronx,005,2,013500,"1,244",005013500
Bronx,005,2,013800,"1,279",005013800
Bronx,005,2,014100,"1,202",005014100
Bronx,005,2,014300,380,005014300
Bronx,005,2,014400,"2,196",005014400
Bronx,005,2,014500,"1,949",005014500
Bronx,005,2,014701,"2,016",005014701
Bronx,005,2,014702,"1,637",005014702
Bronx,005,2,014900,"1,426",005014900
Bronx,005,2,015100,"1,744",005015100
Bronx,005,2,015200,901,005015200
Bronx,005,2,015300,"1,381",005015300
Bronx,005,2,015500,990,005015500
Bronx,005,2,015700,"1,189",005015700
Bronx,005,2,015800,454,005015800
Bronx,005,2,015900,681,005015900
Bronx,005,2,016000,"1,550",005016000
Bronx,005,2,016100,"1,701",005016100
Bronx,005,2,016200,580,005016200
Bronx,005,2,016300,0,005016300
Bronx,005,2,016400,443,005016400
Bronx,005,2,016500,364,005016500
Bronx,005,2,016600,762,005016600
Bronx,005,2,016700,654,005016700
Bronx,005,2,016900,471,005016900
Bronx,005,2,017100,0,005017100
Bronx,005,2,017300,"2,020",005017300
Bronx,005,2,017500,"2,470",005017500
Bronx,005,2,017701,"1,243",005017701
Bronx,005,2,017702,"1,590",005017702
Bronx,005,2,017901,"1,475",005017901
Bronx,005,2,017902,"1,110",005017902
Bronx,005,2,018101,"1,036",005018101
Bronx,005,2,018102,"1,637",005018102
Bronx,005,2,018301,"1,942",005018301
Bronx,005,2,018302,"1,255",005018302
Bronx,005,2,018400,"1,564",005018400
Bronx,005,2,018500,"2,496",005018500
Bronx,005,2,018900,"2,595",005018900
Bronx,005,2,019300,"1,969",005019300
Bronx,005,2,019400,675,005019400
Bronx,005,2,019500,"2,605",005019500
Bronx,005,2,019700,"2,172",005019700
Bronx,005,2,019900,"2,689",005019900
